match_id,date,manager_id,team,opponent,competition,goals_for,goals_against,opponent_strength,formation,ppda,defensive_line_height,build_up_directness,possession_share,transition_attacks,set_piece_xg,first_sub_minute,substitution_count,leading_minutes,trailing_minutes,source
3941022,2024-07-02,austria_rangnick,Austria,Turkey,UEFA Euro,1,2,70.0,4-2-3-1,12.343,52.512,25.591,0.6056,1,1.3349,45.0,4,0.0,89.03,statsbomb_open_data:3941022:Ralf Rangnick
3879567,2015-10-17,belgium_garcia,AS Roma,Empoli,Serie A,3,1,70.0,4-4-2,11.862,42.341,29.239,0.572,0,0.3497,54.0,3,34.15,0.0,statsbomb_open_data:3879567:Rudi Garcia
3879583,2015-10-25,belgium_garcia,AS Roma,Fiorentina,Serie A,2,1,70.0,4-3-3,15.816,38.486,47.424,0.28,1,0.5175,36.0,3,84.1,0.0,statsbomb_open_data:3879583:Rudi Garcia
3879592,2015-10-28,belgium_garcia,AS Roma,Udinese,Serie A,3,1,70.0,4-3-3,12.631,41.678,26.849,0.6303,3,0.4492,64.0,3,86.27,0.0,statsbomb_open_data:3879592:Rudi Garcia
3879598,2015-10-31,belgium_garcia,AS Roma,Inter Milan,Serie A,0,1,70.0,4-3-3,11.672,44.609,26.273,0.5974,0,0.7592,63.0,3,0.0,59.98,statsbomb_open_data:3879598:Rudi Garcia
3879610,2015-11-08,belgium_garcia,AS Roma,Lazio,Serie A,2,0,70.0,4-2-3-1,12.196,46.707,38.589,0.4672,1,2.0612,57.0,3,80.65,0.0,statsbomb_open_data:3879610:Rudi Garcia
3879617,2015-11-21,belgium_garcia,AS Roma,Bologna,Serie A,2,2,70.0,4-3-3,9.375,43.893,47.858,0.523,1,2.2642,62.0,3,14.87,37.73,statsbomb_open_data:3879617:Rudi Garcia
3879632,2015-11-29,belgium_garcia,AS Roma,Atalanta,Serie A,0,2,70.0,4-3-3,11.501,45.911,33.693,0.5744,0,0.7672,60.0,3,0.0,50.25,statsbomb_open_data:3879632:Rudi Garcia
3879639,2015-12-05,belgium_garcia,AS Roma,Torino,Serie A,1,1,70.0,4-3-3,13.748,49.709,29.312,0.6022,0,0.4389,25.0,3,7.2,0.0,statsbomb_open_data:3879639:Rudi Garcia
3879651,2015-12-13,belgium_garcia,AS Roma,Napoli,Serie A,0,0,70.0,4-2-3-1,18.06,36.616,38.57,0.4094,0,0.095,75.0,3,0.0,0.0,statsbomb_open_data:3879651:Rudi Garcia
3879657,2015-12-20,belgium_garcia,AS Roma,Genoa,Serie A,2,0,70.0,4-3-3,16.168,38.335,31.993,0.5405,0,0.8807,64.0,3,48.17,0.0,statsbomb_open_data:3879657:Rudi Garcia
3879672,2016-01-06,belgium_garcia,AS Roma,Chievo,Serie A,3,3,70.0,4-3-3,13.644,36.909,27.315,0.4593,0,1.6307,68.0,3,64.97,0.0,statsbomb_open_data:3879672:Rudi Garcia
3879676,2016-01-09,belgium_garcia,AS Roma,AC Milan,Serie A,1,1,70.0,4-3-3,13.128,36.458,29.566,0.426,0,0.5091,45.0,3,45.38,0.0,statsbomb_open_data:3879676:Rudi Garcia
2302764,2005-05-25,brazil_ancelotti,AC Milan,Liverpool,Champions League,3,3,70.0,4-1-2-1-2,13.615,42.562,29.704,0.5514,0,5.0005,84.0,3,59.02,0.0,statsbomb_open_data:2302764:Carlo Ancelotti
3750200,2007-05-23,brazil_ancelotti,AC Milan,Liverpool,Champions League,2,1,70.0,4-3-2-1,13.184,35.422,34.735,0.5463,0,0.3087,78.0,3,45.53,0.0,statsbomb_open_data:3750200:Carlo Ancelotti
70293,2013-10-26,brazil_ancelotti,Real Madrid,Barcelona,La Liga,1,2,70.0,4-3-3,13.277,39.756,29.18,0.4679,1,0.6771,55.0,3,0.0,71.78,statsbomb_open_data:70293:Carlo Ancelotti
265857,2014-03-23,brazil_ancelotti,Real Madrid,Barcelona,La Liga,3,4,70.0,4-3-3,13.817,43.207,32.282,0.3055,0,1.1367,65.0,3,28.38,19.73,statsbomb_open_data:265857:Carlo Ancelotti
18241,2014-05-24,brazil_ancelotti,Real Madrid,Atlético Madrid,Champions League,4,1,70.0,4-3-3,14.198,40.243,32.083,0.646,2,1.5279,58.0,3,0.0,54.57,statsbomb_open_data:18241:Carlo Ancelotti
267085,2014-10-25,brazil_ancelotti,Real Madrid,Barcelona,La Liga,3,1,70.0,4-4-2,16.947,32.439,32.375,0.4249,1,1.4366,82.0,3,40.03,30.77,statsbomb_open_data:267085:Carlo Ancelotti
